timestamp,event,type,seq_num,payload_size
1777222038.9736888,SEND,START,0,0
1777222038.9746876,RECV,ACK,0,0
1777222038.975691,SEND,DATA,0,1024
1777222038.975691,RECV,ACK,0,0
1777222038.975691,SEND,DATA,1,1024
1777222038.9766917,RECV,ACK,1,0
1777222038.9766917,SEND,DATA,2,1024
1777222038.9772916,RECV,ACK,2,0
1777222038.9772916,SEND,DATA,3,1024
1777222038.9772916,RECV,ACK,3,0
1777222038.9782178,SEND,DATA,4,1024
1777222038.9782178,RECV,ACK,4,0
1777222038.9792182,SEND,DATA,5,1024
1777222038.9792182,RECV,ACK,5,0
1777222038.9792182,SEND,DATA,6,1024
1777222038.9802182,RECV,ACK,6,0
1777222038.9802182,SEND,DATA,7,1024
1777222038.9812186,RECV,ACK,7,0
1777222038.9812186,SEND,DATA,8,1024
1777222038.9812186,RECV,ACK,8,0
1777222038.9822173,SEND,DATA,9,1024
1777222038.9822173,RECV,ACK,9,0
1777222038.9822173,SEND,DATA,10,1024
1777222038.9832163,RECV,ACK,10,0
1777222038.9832163,SEND,DATA,11,1024
1777222038.9852438,RECV,ACK,11,0
1777222038.9862254,SEND,DATA,12,1024
1777222038.9878182,RECV,ACK,12,0
1777222038.9878182,SEND,DATA,13,1024
1777222038.9878182,RECV,ACK,13,0
1777222038.9888146,SEND,DATA,14,1024
1777222038.9888146,RECV,ACK,14,0
1777222038.9888146,SEND,DATA,15,1024
1777222038.9898148,RECV,ACK,15,0
1777222038.9898148,SEND,DATA,16,1024
1777222038.9898148,RECV,ACK,16,0
1777222038.9908144,SEND,DATA,17,1024
1777222038.9908144,RECV,ACK,17,0
1777222038.9908144,SEND,DATA,18,1024
1777222038.9918144,RECV,ACK,18,0
1777222038.9918144,SEND,DATA,19,1024
1777222038.9918144,RECV,ACK,19,0
1777222038.9928145,SEND,DATA,20,1024
1777222038.9928145,RECV,ACK,20,0
1777222038.9938164,SEND,DATA,21,1024
1777222038.9938164,RECV,ACK,21,0
1777222038.9938164,SEND,DATA,22,1024
1777222038.9948149,RECV,ACK,22,0
1777222038.9948149,SEND,DATA,23,1024
1777222038.995816,RECV,ACK,23,0
1777222038.995816,SEND,DATA,24,1024
1777222038.995816,RECV,ACK,24,0
1777222038.995816,SEND,DATA,25,1024
1777222038.9968133,RECV,ACK,25,0
1777222038.997338,SEND,DATA,26,1024
1777222038.997338,RECV,ACK,26,0
1777222038.998334,SEND,DATA,27,1024
1777222038.998334,RECV,ACK,27,0
1777222038.998334,SEND,DATA,28,1024
1777222038.998334,RECV,ACK,28,0
1777222038.9993339,SEND,DATA,29,1024
1777222038.9993339,RECV,ACK,29,0
1777222038.9993339,SEND,DATA,30,1024
1777222039.000336,RECV,ACK,30,0
1777222039.000336,SEND,DATA,31,1024
1777222039.0013568,RECV,ACK,31,0
1777222039.003354,SEND,DATA,32,1024
1777222039.0053506,RECV,ACK,32,0
1777222039.0063639,SEND,DATA,33,1024
1777222039.008355,RECV,ACK,33,0
1777222039.0093381,SEND,DATA,34,1024
1777222039.0093381,RECV,ACK,34,0
1777222039.0103362,SEND,DATA,35,1024
1777222039.0103362,RECV,ACK,35,0
1777222039.0103362,SEND,DATA,36,1024
1777222039.011337,RECV,ACK,36,0
1777222039.0118492,SEND,DATA,37,1024
1777222039.0118628,RECV,ACK,37,0
1777222039.0118628,SEND,DATA,38,1024
1777222039.0118628,RECV,ACK,38,0
1777222039.0128603,SEND,DATA,39,1024
1777222039.0128603,RECV,ACK,39,0
1777222039.0128603,SEND,DATA,40,1024
1777222039.0138593,RECV,ACK,40,0
1777222039.0138593,SEND,DATA,41,1024
1777222039.0138593,RECV,ACK,41,0
1777222039.0138593,SEND,DATA,42,1024
1777222039.0148587,RECV,ACK,42,0
1777222039.0148587,SEND,DATA,43,1024
1777222039.0148587,RECV,ACK,43,0
1777222039.0158591,SEND,DATA,44,1024
1777222039.0158591,RECV,ACK,44,0
1777222039.0158591,SEND,DATA,45,1024
1777222039.016859,RECV,ACK,45,0
1777222039.016859,SEND,DATA,46,1024
1777222039.0178747,RECV,ACK,46,0
1777222039.018881,SEND,DATA,47,1024
1777222039.020867,RECV,ACK,47,0
1777222039.020867,SEND,DATA,48,1024
1777222039.0228693,RECV,ACK,48,0
1777222039.0228693,SEND,DATA,49,1024
1777222039.0238612,RECV,ACK,49,0
1777222039.0238612,SEND,DATA,50,1024
1777222039.024866,RECV,ACK,50,0
1777222039.024866,SEND,DATA,51,1024
