timestamp,event,type,seq_num,payload_size
1777222039.195457,SEND,START,0,0
1777222039.195457,RECV,ACK,0,0
1777222039.1964574,SEND,DATA,0,1024
1777222039.1964574,RECV,ACK,0,0
1777222039.1964574,SEND,DATA,1,1024
1777222039.197458,RECV,ACK,1,0
1777222039.197458,SEND,DATA,2,1024
1777222039.197458,RECV,ACK,2,0
1777222039.197458,SEND,DATA,3,1024
1777222039.198778,RECV,ACK,3,0
1777222039.1992972,SEND,DATA,4,1024
1777222039.704107,TIMEOUT,DATA,4,0
1777222039.705121,SEND,DATA,4,1024
1777222039.7081215,RECV,ACK,4,0
1777222039.7091043,SEND,DATA,5,1024
1777222039.7101016,RECV,ACK,5,0
1777222039.7101016,SEND,DATA,6,1024
1777222039.711095,RECV,ACK,6,0
1777222039.711095,SEND,DATA,7,1024
1777222039.712105,RECV,ACK,7,0
1777222039.71291,SEND,DATA,8,1024
1777222039.71291,RECV,ACK,8,0
1777222039.71291,SEND,DATA,9,1024
1777222039.7139175,RECV,ACK,9,0
1777222039.7139175,SEND,DATA,10,1024
1777222039.7139175,RECV,ACK,10,0
1777222039.7139175,SEND,DATA,11,1024
1777222039.7149084,RECV,ACK,11,0
1777222039.7149084,SEND,DATA,12,1024
1777222039.7158616,RECV,ACK,12,0
1777222039.7158616,SEND,DATA,13,1024
1777222039.7164357,RECV,ACK,13,0
1777222039.7164357,SEND,DATA,14,1024
1777222039.7173789,RECV,ACK,14,0
1777222039.717476,SEND,DATA,15,1024
1777222039.7180052,RECV,ACK,15,0
1777222039.7200143,SEND,DATA,16,1024
1777222039.7210088,RECV,ACK,16,0
1777222039.7210088,SEND,DATA,17,1024
1777222039.7220182,RECV,ACK,17,0
1777222039.7220182,SEND,DATA,18,1024
1777222039.7230089,RECV,ACK,18,0
1777222039.7230089,SEND,DATA,19,1024
1777222039.7242978,RECV,ACK,19,0
1777222039.7248168,SEND,DATA,20,1024
1777222039.7248168,RECV,ACK,20,0
1777222039.7258782,SEND,DATA,21,1024
1777222039.7258782,RECV,ACK,21,0
1777222039.7258782,SEND,DATA,22,1024
1777222039.7268195,RECV,ACK,22,0
1777222039.7268195,SEND,DATA,23,1024
1777222039.7278173,RECV,ACK,23,0
1777222039.7278173,SEND,DATA,24,1024
1777222039.7278173,RECV,ACK,24,0
1777222039.7288158,SEND,DATA,25,1024
1777222039.7288158,RECV,ACK,25,0
1777222039.7298174,SEND,DATA,26,1024
1777222039.7298174,RECV,ACK,26,0
1777222039.7298174,SEND,DATA,27,1024
1777222039.7308176,RECV,ACK,27,0
1777222039.7308176,SEND,DATA,28,1024
1777222039.7318206,RECV,ACK,28,0
1777222039.7318206,SEND,DATA,29,1024
1777222039.7318206,RECV,ACK,29,0
1777222039.732816,SEND,DATA,30,1024
1777222040.2415156,TIMEOUT,DATA,30,0
1777222040.2420557,SEND,DATA,30,1024
1777222040.2420557,RECV,ACK,30,0
1777222040.2430553,SEND,DATA,31,1024
1777222040.2430553,RECV,ACK,31,0
1777222040.2430553,SEND,DATA,32,1024
1777222040.2441554,RECV,ACK,32,0
1777222040.2441554,SEND,DATA,33,1024
1777222040.2450628,RECV,ACK,33,0
1777222040.2450628,SEND,DATA,34,1024
1777222040.2460544,RECV,ACK,34,0
1777222040.2460544,SEND,DATA,35,1024
1777222040.2467325,RECV,ACK,35,0
1777222040.2467325,SEND,DATA,36,1024
1777222040.247253,RECV,ACK,36,0
1777222040.247253,SEND,DATA,37,1024
1777222040.248254,RECV,ACK,37,0
1777222040.248254,SEND,DATA,38,1024
1777222040.2492638,RECV,ACK,38,0
1777222040.2492638,SEND,DATA,39,1024
1777222040.2498243,RECV,ACK,39,0
1777222040.2498243,SEND,DATA,40,1024
1777222040.2508235,RECV,ACK,40,0
1777222040.2508235,SEND,DATA,41,1024
1777222040.251825,RECV,ACK,41,0
1777222040.252837,SEND,DATA,42,1024
1777222040.255856,RECV,ACK,42,0
1777222040.257512,SEND,DATA,43,1024
1777222040.259514,RECV,ACK,43,0
1777222040.259514,SEND,DATA,44,1024
1777222040.2605004,RECV,ACK,44,0
1777222040.2605004,SEND,DATA,45,1024
1777222040.2605004,RECV,ACK,45,0
1777222040.261499,SEND,DATA,46,1024
1777222040.261499,RECV,ACK,46,0
1777222040.261499,SEND,DATA,47,1024
1777222040.2624989,RECV,ACK,47,0
1777222040.2624989,SEND,DATA,48,1024
1777222040.2624989,RECV,ACK,48,0
1777222040.2634976,SEND,DATA,49,1024
1777222040.2634976,RECV,ACK,49,0
1777222040.2634976,SEND,DATA,50,1024
1777222040.2644978,RECV,ACK,50,0
1777222040.2644978,SEND,DATA,51,1024
1777222040.2652886,RECV,ACK,51,0
1777222040.2652886,SEND,DATA,52,1024
1777222040.2652886,RECV,ACK,52,0
1777222040.2662208,SEND,DATA,53,1024
1777222040.2662208,RECV,ACK,53,0
1777222040.2662208,SEND,DATA,54,1024
1777222040.2672203,RECV,ACK,54,0
1777222040.2672203,SEND,DATA,55,1024
1777222040.7678194,TIMEOUT,DATA,55,0
1777222040.7685544,SEND,DATA,55,1024
1777222040.7685544,RECV,ACK,55,0
1777222040.7695684,SEND,DATA,56,1024
1777222040.7715616,RECV,ACK,56,0
1777222040.7725558,SEND,DATA,57,1024
1777222040.7735517,RECV,ACK,57,0
1777222040.774563,SEND,DATA,58,1024
1777222040.774563,RECV,ACK,58,0
1777222040.7755597,SEND,DATA,59,1024
1777222040.7755597,RECV,ACK,59,0
1777222040.7755597,SEND,DATA,60,1024
1777222040.7765567,RECV,ACK,60,0
1777222040.7772706,SEND,DATA,61,1024
1777222040.7772706,RECV,ACK,61,0
1777222040.7782812,SEND,DATA,62,1024
1777222040.7782812,RECV,ACK,62,0
1777222040.7792678,SEND,DATA,63,1024
1777222040.7792678,RECV,ACK,63,0
1777222040.7792678,SEND,DATA,64,1024
1777222040.7802715,RECV,ACK,64,0
1777222040.7802715,SEND,DATA,65,1024
1777222040.781266,RECV,ACK,65,0
1777222040.781266,SEND,DATA,66,1024
1777222040.7822664,RECV,ACK,66,0
1777222040.7822664,SEND,DATA,67,1024
1777222041.2962189,TIMEOUT,DATA,67,0
1777222041.2962189,SEND,DATA,67,1024
1777222041.2970495,RECV,ACK,67,0
1777222041.2970495,SEND,DATA,68,1024
1777222041.2980504,RECV,ACK,68,0
1777222041.2980504,SEND,DATA,69,1024
1777222041.2990758,RECV,ACK,69,0
1777222041.299605,SEND,DATA,70,1024
