timestamp,event,type,seq_num,payload_size
1777222061.5486102,SEND,START,0,0
1777222061.549611,RECV,ACK,0,0
1777222061.549611,SEND,DATA,0,1024
1777222061.5506372,RECV,ACK,0,0
1777222061.5506372,SEND,DATA,1,1024
1777222062.0554373,TIMEOUT,DATA,1,0
1777222062.055956,SEND,DATA,1,1024
1777222062.055956,RECV,ACK,1,0
1777222062.055956,SEND,DATA,2,1024
1777222062.0579815,RECV,ACK,2,0
1777222062.0589714,SEND,DATA,3,1024
1777222062.059968,RECV,ACK,3,0
1777222062.0609615,SEND,DATA,4,1024
1777222062.5618992,TIMEOUT,DATA,4,0
1777222062.5624232,SEND,DATA,4,1024
1777222062.5624232,RECV,ACK,4,0
1777222062.5624232,SEND,DATA,5,1024
1777222062.5634234,RECV,ACK,5,0
1777222062.5644236,SEND,DATA,6,1024
1777222062.5644236,RECV,ACK,6,0
1777222062.5654197,SEND,DATA,7,1024
1777222062.5654197,RECV,ACK,7,0
1777222062.5663524,SEND,DATA,8,1024
1777222063.07414,TIMEOUT,DATA,8,0
1777222063.07414,SEND,DATA,8,1024
1777222063.0771923,RECV,ACK,8,0
1777222063.0782034,SEND,DATA,9,1024
1777222063.5849802,TIMEOUT,DATA,9,0
1777222063.5849802,SEND,DATA,9,1024
1777222064.0965667,TIMEOUT,DATA,9,0
1777222064.0972903,SEND,DATA,9,1024
1777222064.0972903,RECV,ACK,9,0
1777222064.0982943,SEND,DATA,10,1024
1777222064.6066058,TIMEOUT,DATA,10,0
1777222064.6066058,SEND,DATA,10,1024
1777222064.6075957,RECV,ACK,10,0
1777222064.6075957,SEND,DATA,11,1024
1777222064.6086059,RECV,ACK,11,0
1777222064.6086059,SEND,DATA,12,1024
1777222064.6095996,RECV,ACK,12,0
1777222064.6116223,SEND,DATA,13,1024
1777222065.119431,TIMEOUT,DATA,13,0
1777222065.1202576,SEND,DATA,13,1024
1777222065.1202576,RECV,ACK,13,0
1777222065.1212542,SEND,DATA,14,1024
1777222065.1212542,RECV,ACK,14,0
1777222065.1212542,SEND,DATA,15,1024
1777222065.6308858,TIMEOUT,DATA,15,0
1777222065.631777,SEND,DATA,15,1024
1777222065.631777,RECV,ACK,15,0
1777222065.6327767,SEND,DATA,16,1024
1777222065.6327767,RECV,ACK,16,0
1777222065.6337829,SEND,DATA,17,1024
1777222065.6337829,RECV,ACK,17,0
1777222065.6347783,SEND,DATA,18,1024
1777222065.6347783,RECV,ACK,18,0
1777222065.6362422,SEND,DATA,19,1024
1777222065.6362422,RECV,ACK,19,0
1777222065.637125,SEND,DATA,20,1024
1777222065.6381323,RECV,ACK,20,0
1777222065.6381323,SEND,DATA,21,1024
1777222065.6381323,RECV,ACK,21,0
1777222065.6391222,SEND,DATA,22,1024
1777222065.639923,RECV,ACK,22,0
1777222065.639923,SEND,DATA,23,1024
1777222065.6409206,RECV,ACK,23,0
1777222065.6409206,SEND,DATA,24,1024
1777222065.6419213,RECV,ACK,24,0
1777222065.6419213,SEND,DATA,25,1024
1777222066.156608,TIMEOUT,DATA,25,0
1777222066.157131,SEND,DATA,25,1024
1777222066.157131,RECV,ACK,25,0
1777222066.1581314,SEND,DATA,26,1024
1777222066.666046,TIMEOUT,DATA,26,0
1777222066.6670456,SEND,DATA,26,1024
1777222067.1758504,TIMEOUT,DATA,26,0
1777222067.1763833,SEND,DATA,26,1024
1777222067.689106,TIMEOUT,DATA,26,0
1777222067.689106,SEND,DATA,26,1024
1777222068.2007656,TIMEOUT,DATA,26,0
1777222068.2012873,SEND,DATA,26,1024
1777222068.2012873,RECV,ACK,26,0
1777222068.2022898,SEND,DATA,27,1024
1777222068.2022898,RECV,ACK,27,0
1777222068.2032883,SEND,DATA,28,1024
1777222068.2032883,RECV,ACK,28,0
1777222068.2032883,SEND,DATA,29,1024
1777222068.204291,RECV,ACK,29,0
1777222068.204978,SEND,DATA,30,1024
1777222068.204978,RECV,ACK,30,0
1777222068.204978,SEND,DATA,31,1024
1777222068.7107522,TIMEOUT,DATA,31,0
1777222068.7107522,SEND,DATA,31,1024
1777222069.223802,TIMEOUT,DATA,31,0
1777222069.2244022,SEND,DATA,31,1024
1777222069.2249281,RECV,ACK,31,0
1777222069.2249281,SEND,DATA,32,1024
1777222069.2259283,RECV,ACK,32,0
1777222069.2259283,SEND,DATA,33,1024
1777222069.2259283,RECV,ACK,33,0
1777222069.2269366,SEND,DATA,34,1024
1777222069.2269366,RECV,ACK,34,0
1777222069.227928,SEND,DATA,35,1024
1777222069.227928,RECV,ACK,35,0
1777222069.227928,SEND,DATA,36,1024
1777222069.2289267,RECV,ACK,36,0
1777222069.2289267,SEND,DATA,37,1024
1777222069.229928,RECV,ACK,37,0
1777222069.229928,SEND,DATA,38,1024
1777222069.229928,RECV,ACK,38,0
1777222069.2309308,SEND,DATA,39,1024
1777222069.2329693,RECV,ACK,39,0
1777222069.2350917,SEND,DATA,40,1024
1777222069.7464802,TIMEOUT,DATA,40,0
1777222069.7464802,SEND,DATA,40,1024
1777222069.7477958,RECV,ACK,40,0
1777222069.7477958,SEND,DATA,41,1024
1777222070.2584376,TIMEOUT,DATA,41,0
1777222070.2584376,SEND,DATA,41,1024
1777222070.2594318,RECV,ACK,41,0
1777222070.2594318,SEND,DATA,42,1024
1777222070.767147,TIMEOUT,DATA,42,0
1777222070.7681236,SEND,DATA,42,1024
1777222070.769131,RECV,ACK,42,0
1777222070.7701292,SEND,DATA,43,1024
1777222070.771131,RECV,ACK,43,0
1777222070.771131,SEND,DATA,44,1024
1777222070.7721202,RECV,ACK,44,0
1777222070.7721202,SEND,DATA,45,1024
1777222070.7721202,RECV,ACK,45,0
