timestamp,event,type,seq_num,payload_size
1777202716.8023844,SEND,DATA,0,1024
1777202716.8033838,SEND,DATA,1,1024
1777202716.8033838,SEND,DATA,2,1024
1777202716.804391,SEND,DATA,3,1024
1777202716.804391,SEND,DATA,4,1024
1777202716.804391,RECV,ACK,0,0
1777202716.8053896,RECV,ACK,1,0
1777202716.8288865,SEND,DATA,5,1024
1777202716.8288865,SEND,DATA,6,1024
1777202717.3091044,TIMEOUT,DATA,2,0
1777202717.3244832,SEND,DATA,2,1024
1777202717.3244832,SEND,DATA,3,1024
1777202717.3254848,SEND,DATA,4,1024
1777202717.3254848,SEND,DATA,5,1024
1777202717.3254848,SEND,DATA,6,1024
1777202717.3264866,RECV,ACK,2,0
1777202717.3264866,RECV,ACK,3,0
1777202717.3274763,RECV,ACK,4,0
1777202717.3274763,RECV,ACK,5,0
1777202717.3274763,RECV,ACK,6,0
1777202717.3396447,SEND,DATA,7,1024
1777202717.3402953,SEND,DATA,8,1024
1777202717.340908,SEND,DATA,9,1024
1777202717.340908,SEND,DATA,10,1024
1777202717.341821,SEND,DATA,11,1024
1777202717.341821,RECV,ACK,7,0
1777202717.341821,RECV,ACK,8,0
1777202717.342829,RECV,ACK,9,0
1777202717.342829,RECV,ACK,10,0
1777202717.342829,RECV,ACK,11,0
1777202717.3551257,SEND,DATA,12,1024
1777202717.355649,SEND,DATA,13,1024
1777202717.3562107,SEND,DATA,14,1024
1777202717.3562107,SEND,DATA,15,1024
1777202717.356734,SEND,DATA,16,1024
1777202717.356734,RECV,ACK,12,0
1777202717.3577342,RECV,ACK,13,0
1777202717.3577342,RECV,ACK,14,0
1777202717.3577342,RECV,ACK,15,0
1777202717.358742,RECV,ACK,16,0
1777202717.3704455,SEND,DATA,17,1024
1777202717.3711977,SEND,DATA,18,1024
1777202717.3717353,SEND,DATA,19,1024
1777202717.3717353,SEND,DATA,20,1024
1777202717.3717353,SEND,DATA,21,1024
1777202717.372742,RECV,ACK,17,0
1777202717.372742,RECV,ACK,18,0
1777202717.373742,RECV,ACK,19,0
1777202717.373742,RECV,ACK,20,0
1777202717.373742,RECV,ACK,21,0
1777202717.3855734,SEND,DATA,22,1024
1777202717.3860939,SEND,DATA,23,1024
1777202717.3860939,SEND,DATA,24,1024
1777202717.3860939,SEND,DATA,25,1024
1777202717.3870957,SEND,DATA,26,1024
1777202717.3870957,RECV,ACK,22,0
1777202717.3870957,RECV,ACK,23,0
1777202717.3880978,RECV,ACK,24,0
1777202717.3880978,RECV,ACK,25,0
1777202717.4009397,SEND,DATA,27,1024
1777202717.4009397,SEND,DATA,28,1024
1777202717.4020424,SEND,DATA,29,1024
1777202717.402568,SEND,DATA,30,1024
1777202717.895562,TIMEOUT,DATA,26,0
1777202717.9112144,SEND,DATA,26,1024
1777202717.912242,SEND,DATA,27,1024
1777202717.912242,SEND,DATA,28,1024
1777202717.913234,SEND,DATA,29,1024
1777202717.913234,SEND,DATA,30,1024
1777202717.913234,RECV,ACK,26,0
1777202717.914233,RECV,ACK,27,0
1777202717.914233,RECV,ACK,28,0
1777202717.914233,RECV,ACK,29,0
1777202717.915235,RECV,ACK,30,0
1777202717.9268146,SEND,DATA,31,1024
1777202717.9275997,SEND,DATA,32,1024
1777202717.9275997,SEND,DATA,33,1024
1777202717.9275997,SEND,DATA,34,1024
1777202717.9286776,SEND,DATA,35,1024
1777202717.9286776,RECV,ACK,31,0
1777202717.9296036,RECV,ACK,32,0
1777202717.9428022,SEND,DATA,36,1024
1777202717.9438014,SEND,DATA,37,1024
1777202718.438642,TIMEOUT,DATA,33,0
1777202718.4537404,SEND,DATA,33,1024
1777202718.4542725,SEND,DATA,34,1024
1777202718.4542725,SEND,DATA,35,1024
1777202718.4552689,SEND,DATA,36,1024
1777202718.4552689,SEND,DATA,37,1024
1777202718.456278,RECV,ACK,33,0
1777202718.4563775,RECV,ACK,34,0
1777202718.4563775,RECV,ACK,35,0
1777202718.4563775,RECV,ACK,36,0
1777202718.4572783,RECV,ACK,37,0
1777202718.4695668,SEND,DATA,38,1024
1777202718.4695668,SEND,DATA,39,1024
1777202718.4707081,SEND,DATA,40,1024
1777202718.4707081,SEND,DATA,41,1024
1777202718.4712396,SEND,DATA,42,1024
1777202718.4717572,RECV,ACK,38,0
1777202718.4717572,RECV,ACK,39,0
1777202718.4717572,RECV,ACK,40,0
1777202718.4717572,RECV,ACK,41,0
1777202718.472768,RECV,ACK,42,0
1777202718.4851556,SEND,DATA,43,1024
1777202718.4857905,SEND,DATA,44,1024
1777202718.4857905,SEND,DATA,45,1024
1777202718.4867957,SEND,DATA,46,1024
1777202718.4867957,SEND,DATA,47,1024
1777202718.4867957,RECV,ACK,43,0
1777202718.4867957,RECV,ACK,44,0
1777202718.4878042,RECV,ACK,45,0
1777202718.4878042,RECV,ACK,46,0
1777202718.5004768,SEND,DATA,48,1024
1777202718.5010147,SEND,DATA,49,1024
1777202718.5015447,SEND,DATA,50,1024
1777202718.5020735,SEND,DATA,51,1024
1777202718.998683,TIMEOUT,DATA,47,0
1777202719.014203,SEND,DATA,47,1024
1777202719.0148945,SEND,DATA,48,1024
1777202719.0148945,SEND,DATA,49,1024
1777202719.0158987,SEND,DATA,50,1024
1777202719.0168958,SEND,DATA,51,1024
1777202719.0168958,RECV,ACK,47,0
1777202719.0168958,RECV,ACK,48,0
1777202719.0179868,RECV,ACK,49,0
1777202719.029579,SEND,DATA,52,1024
1777202719.0301993,SEND,DATA,53,1024
1777202719.0301993,SEND,DATA,54,1024
1777202719.51954,TIMEOUT,DATA,50,0
1777202719.5345778,SEND,DATA,50,1024
1777202719.5354836,SEND,DATA,51,1024
1777202719.5354836,SEND,DATA,52,1024
1777202719.5354836,SEND,DATA,53,1024
1777202719.5364864,SEND,DATA,54,1024
1777202719.5364864,RECV,ACK,50,0
1777202719.5374837,RECV,ACK,51,0
1777202719.5374837,RECV,ACK,52,0
1777202719.5384846,RECV,ACK,53,0
1777202719.5384846,RECV,ACK,54,0
1777202719.5497332,SEND,DATA,55,1024
1777202719.5505574,SEND,DATA,56,1024
1777202719.5505574,SEND,DATA,57,1024
1777202719.5505574,SEND,DATA,58,1024
1777202719.5515513,SEND,DATA,59,1024
1777202719.5515513,RECV,ACK,55,0
1777202719.5515513,RECV,ACK,56,0
1777202719.5525851,RECV,ACK,57,0
1777202719.5525851,RECV,ACK,58,0
1777202719.553595,RECV,ACK,59,0
1777202719.5646558,SEND,DATA,60,1024
1777202719.5653508,SEND,DATA,61,1024
1777202719.5653508,SEND,DATA,62,1024
1777202719.5653508,SEND,DATA,63,1024
1777202719.566355,SEND,DATA,64,1024
1777202719.566355,RECV,ACK,60,0
1777202719.5798643,SEND,DATA,65,1024
1777202720.07201,TIMEOUT,DATA,61,0
1777202720.087251,SEND,DATA,61,1024
1777202720.0880177,SEND,DATA,62,1024
1777202720.0880177,SEND,DATA,63,1024
1777202720.089027,SEND,DATA,64,1024
1777202720.089027,SEND,DATA,65,1024
1777202720.0900307,RECV,ACK,61,0
1777202720.0900307,RECV,ACK,62,0
1777202720.0900307,RECV,ACK,63,0
1777202720.0900307,RECV,ACK,64,0
1777202720.0910285,RECV,ACK,65,0
1777202720.1023655,SEND,DATA,66,1024
1777202720.1023655,SEND,DATA,67,1024
1777202720.1032953,SEND,DATA,68,1024
1777202720.1032953,SEND,DATA,69,1024
1777202720.104302,SEND,DATA,70,1024
1777202720.104302,RECV,ACK,66,0
1777202720.1052978,RECV,ACK,67,0
1777202720.1052978,RECV,ACK,68,0
1777202720.1052978,RECV,ACK,69,0
1777202720.10639,RECV,ACK,70,0
1777202720.117464,SEND,DATA,71,1024
1777202720.1182919,SEND,DATA,72,1024
1777202720.1182919,SEND,DATA,73,1024
1777202720.1192932,SEND,DATA,74,1024
1777202720.11993,SEND,DATA,75,1024
1777202720.1204631,RECV,ACK,71,0
1777202720.1204631,RECV,ACK,72,0
1777202720.1210496,RECV,ACK,73,0
1777202720.1210496,RECV,ACK,74,0
1777202720.1210496,RECV,ACK,75,0
1777202720.1324,SEND,DATA,76,1024
1777202720.1324,SEND,DATA,77,1024
1777202720.1333785,SEND,DATA,78,1024
1777202720.1333785,SEND,DATA,79,1024
1777202720.1342506,SEND,DATA,80,1024
1777202720.1342695,RECV,ACK,76,0
1777202720.1342695,RECV,ACK,77,0
1777202720.1352675,RECV,ACK,78,0
1777202720.1352675,RECV,ACK,79,0
1777202720.1352675,RECV,ACK,80,0
1777202720.1479871,SEND,DATA,81,1024
1777202720.1486876,SEND,DATA,82,1024
1777202720.1486876,SEND,DATA,83,1024
1777202720.14966,SEND,DATA,84,1024
1777202720.14966,SEND,DATA,85,1024
