timestamp,event,type,seq_num,payload_size
1777222044.018977,SEND,START,0,0
1777222044.0199788,RECV,ACK,0,0
1777222044.0199788,SEND,DATA,0,1024
1777222044.0209777,RECV,ACK,0,0
1777222044.0209777,SEND,DATA,1,1024
1777222044.0219774,RECV,ACK,1,0
1777222044.0230122,SEND,DATA,2,1024
1777222044.0249944,RECV,ACK,2,0
1777222044.0259967,SEND,DATA,3,1024
1777222044.0269804,RECV,ACK,3,0
1777222044.0269804,SEND,DATA,4,1024
1777222044.0279753,RECV,ACK,4,0
1777222044.0279753,SEND,DATA,5,1024
1777222044.0289757,RECV,ACK,5,0
1777222044.0289757,SEND,DATA,6,1024
1777222044.0289757,RECV,ACK,6,0
1777222044.0299766,SEND,DATA,7,1024
1777222044.0309756,RECV,ACK,7,0
1777222044.0309756,SEND,DATA,8,1024
1777222044.0309756,RECV,ACK,8,0
1777222044.0309756,SEND,DATA,9,1024
1777222044.031976,RECV,ACK,9,0
1777222044.031976,SEND,DATA,10,1024
1777222044.5431206,TIMEOUT,DATA,10,0
1777222044.5442257,SEND,DATA,10,1024
1777222044.544751,RECV,ACK,10,0
1777222044.5457509,SEND,DATA,11,1024
1777222044.5457509,RECV,ACK,11,0
1777222044.5457509,SEND,DATA,12,1024
1777222044.5467606,RECV,ACK,12,0
1777222044.5467606,SEND,DATA,13,1024
1777222044.547758,RECV,ACK,13,0
1777222044.547758,SEND,DATA,14,1024
1777222044.547758,RECV,ACK,14,0
1777222044.5489888,SEND,DATA,15,1024
1777222045.0533173,TIMEOUT,DATA,15,0
1777222045.0538409,SEND,DATA,15,1024
1777222045.0543616,RECV,ACK,15,0
1777222045.0548828,SEND,DATA,16,1024
1777222045.5640123,TIMEOUT,DATA,16,0
1777222045.5640123,SEND,DATA,16,1024
1777222045.5650284,RECV,ACK,16,0
1777222045.5650284,SEND,DATA,17,1024
1777222045.5656173,RECV,ACK,17,0
1777222045.5662158,SEND,DATA,18,1024
1777222045.5662158,RECV,ACK,18,0
1777222045.5662158,SEND,DATA,19,1024
1777222045.5671463,RECV,ACK,19,0
1777222045.5671463,SEND,DATA,20,1024
1777222045.5681477,RECV,ACK,20,0
1777222045.5681477,SEND,DATA,21,1024
1777222046.0780203,TIMEOUT,DATA,21,0
1777222046.079007,SEND,DATA,21,1024
1777222046.080013,RECV,ACK,21,0
1777222046.080013,SEND,DATA,22,1024
1777222046.080013,RECV,ACK,22,0
1777222046.081012,SEND,DATA,23,1024
1777222046.081012,RECV,ACK,23,0
1777222046.0820124,SEND,DATA,24,1024
1777222046.0820124,RECV,ACK,24,0
1777222046.0820124,SEND,DATA,25,1024
1777222046.083011,RECV,ACK,25,0
1777222046.0836334,SEND,DATA,26,1024
1777222046.0841885,RECV,ACK,26,0
1777222046.0841885,SEND,DATA,27,1024
1777222046.0851712,RECV,ACK,27,0
1777222046.0851712,SEND,DATA,28,1024
1777222046.592577,TIMEOUT,DATA,28,0
1777222046.5945747,SEND,DATA,28,1024
1777222047.1030133,TIMEOUT,DATA,28,0
1777222047.103555,SEND,DATA,28,1024
1777222047.1040947,RECV,ACK,28,0
1777222047.1040947,SEND,DATA,29,1024
1777222047.1051018,RECV,ACK,29,0
1777222047.1051018,SEND,DATA,30,1024
1777222047.1061058,RECV,ACK,30,0
1777222047.1061058,SEND,DATA,31,1024
1777222047.1070933,RECV,ACK,31,0
1777222047.1070933,SEND,DATA,32,1024
1777222047.1080933,RECV,ACK,32,0
1777222047.1080933,SEND,DATA,33,1024
1777222047.111104,RECV,ACK,33,0
1777222047.111104,SEND,DATA,34,1024
1777222047.1130998,RECV,ACK,34,0
1777222047.1130998,SEND,DATA,35,1024
1777222047.1142414,RECV,ACK,35,0
1777222047.1152256,SEND,DATA,36,1024
1777222047.1152256,RECV,ACK,36,0
1777222047.1162226,SEND,DATA,37,1024
1777222047.1162226,RECV,ACK,37,0
1777222047.1162226,SEND,DATA,38,1024
1777222047.1172247,RECV,ACK,38,0
1777222047.1172247,SEND,DATA,39,1024
1777222047.1172247,RECV,ACK,39,0
1777222047.118294,SEND,DATA,40,1024
1777222047.118819,RECV,ACK,40,0
1777222047.118819,SEND,DATA,41,1024
1777222047.118819,RECV,ACK,41,0
1777222047.1198206,SEND,DATA,42,1024
1777222047.1198206,RECV,ACK,42,0
1777222047.1198206,SEND,DATA,43,1024
1777222047.120822,RECV,ACK,43,0
1777222047.120822,SEND,DATA,44,1024
1777222047.120822,RECV,ACK,44,0
1777222047.1218212,SEND,DATA,45,1024
1777222047.1218212,RECV,ACK,45,0
1777222047.1218212,SEND,DATA,46,1024
1777222047.1228197,RECV,ACK,46,0
1777222047.1228197,SEND,DATA,47,1024
1777222047.6296914,TIMEOUT,DATA,47,0
1777222047.630713,SEND,DATA,47,1024
1777222047.6316946,RECV,ACK,47,0
1777222047.6316946,SEND,DATA,48,1024
1777222047.632693,RECV,ACK,48,0
1777222047.632693,SEND,DATA,49,1024
1777222047.6336856,RECV,ACK,49,0
1777222047.6336856,SEND,DATA,50,1024
1777222047.6344738,RECV,ACK,50,0
1777222047.6344738,SEND,DATA,51,1024
1777222047.6344738,RECV,ACK,51,0
1777222047.635422,SEND,DATA,52,1024
1777222047.635422,RECV,ACK,52,0
1777222047.635422,SEND,DATA,53,1024
1777222047.636422,RECV,ACK,53,0
1777222047.636422,SEND,DATA,54,1024
1777222048.1399078,TIMEOUT,DATA,54,0
1777222048.1399078,SEND,DATA,54,1024
1777222048.1410854,RECV,ACK,54,0
1777222048.1410854,SEND,DATA,55,1024
1777222048.6506872,TIMEOUT,DATA,55,0
1777222048.6512175,SEND,DATA,55,1024
1777222048.6512175,RECV,ACK,55,0
1777222048.6512175,SEND,DATA,56,1024
1777222048.6522217,RECV,ACK,56,0
1777222048.6522217,SEND,DATA,57,1024
1777222048.6532218,RECV,ACK,57,0
1777222048.6532218,SEND,DATA,58,1024
1777222048.6532218,RECV,ACK,58,0
1777222048.6542184,SEND,DATA,59,1024
1777222049.162863,TIMEOUT,DATA,59,0
1777222049.1638534,SEND,DATA,59,1024
1777222049.1656938,RECV,ACK,59,0
1777222049.1663578,SEND,DATA,60,1024
1777222049.1672487,RECV,ACK,60,0
1777222049.1672487,SEND,DATA,61,1024
1777222049.6707282,TIMEOUT,DATA,61,0
1777222049.6712644,SEND,DATA,61,1024
1777222049.6712644,RECV,ACK,61,0
1777222049.6722636,SEND,DATA,62,1024
1777222049.6722636,RECV,ACK,62,0
1777222049.6732657,SEND,DATA,63,1024
1777222049.6732657,RECV,ACK,63,0
1777222049.6742635,SEND,DATA,64,1024
1777222050.1846583,TIMEOUT,DATA,64,0
1777222050.1851864,SEND,DATA,64,1024
1777222050.1851864,RECV,ACK,64,0
1777222050.1861796,SEND,DATA,65,1024
1777222050.1861796,RECV,ACK,65,0
1777222050.18718,SEND,DATA,66,1024
1777222050.18718,RECV,ACK,66,0
1777222050.1881814,SEND,DATA,67,1024
1777222050.1881814,RECV,ACK,67,0
1777222050.1881814,SEND,DATA,68,1024
1777222050.6925917,TIMEOUT,DATA,68,0
1777222050.6931272,SEND,DATA,68,1024
1777222050.6936605,RECV,ACK,68,0
1777222050.6941924,SEND,DATA,69,1024
1777222050.6941924,RECV,ACK,69,0
1777222050.6951933,SEND,DATA,70,1024
1777222050.696205,RECV,ACK,70,0
1777222050.6972237,SEND,DATA,71,1024
1777222050.6991942,RECV,ACK,71,0
1777222050.6991942,SEND,DATA,72,1024
1777222050.7013073,RECV,ACK,72,0
1777222050.7013073,SEND,DATA,73,1024
1777222050.7019587,RECV,ACK,73,0
1777222050.7024953,SEND,DATA,74,1024
1777222051.2182305,TIMEOUT,DATA,74,0
1777222051.2182448,SEND,DATA,74,1024
1777222051.2192526,RECV,ACK,74,0
1777222051.2192526,SEND,DATA,75,1024
1777222051.220247,RECV,ACK,75,0
1777222051.220247,SEND,DATA,76,1024
1777222051.220247,RECV,ACK,76,0
1777222051.220247,SEND,DATA,77,1024
1777222051.2212474,RECV,ACK,77,0
1777222051.2212474,SEND,DATA,78,1024
1777222051.222244,RECV,ACK,78,0
1777222051.222244,SEND,DATA,79,1024
1777222051.222244,RECV,ACK,79,0
1777222051.2232456,SEND,DATA,80,1024
1777222051.2232456,RECV,ACK,80,0
1777222051.2232456,SEND,DATA,81,1024
1777222051.7292361,TIMEOUT,DATA,81,0
1777222051.729768,SEND,DATA,81,1024
1777222051.730802,RECV,ACK,81,0
1777222051.731781,SEND,DATA,82,1024
1777222051.731781,RECV,ACK,82,0
1777222051.7327871,SEND,DATA,83,1024
1777222051.73403,RECV,ACK,83,0
1777222051.7345614,SEND,DATA,84,1024
1777222051.7345614,RECV,ACK,84,0
1777222051.7345614,SEND,DATA,85,1024
1777222052.2360823,TIMEOUT,DATA,85,0
1777222052.2360823,SEND,DATA,85,1024
1777222052.7485127,TIMEOUT,DATA,85,0
1777222052.7495034,SEND,DATA,85,1024
1777222053.2573864,TIMEOUT,DATA,85,0
1777222053.2573864,SEND,DATA,85,1024
1777222053.7723606,TIMEOUT,DATA,85,0
1777222053.7723606,SEND,DATA,85,1024
1777222053.7732182,RECV,ACK,85,0
1777222053.7732182,SEND,DATA,86,1024
1777222053.7742155,RECV,ACK,86,0
1777222053.7742155,SEND,DATA,87,1024
1777222053.7753086,RECV,ACK,87,0
1777222053.7758508,SEND,DATA,88,1024
1777222053.7759285,RECV,ACK,88,0
1777222053.7759285,SEND,DATA,89,1024
1777222054.2829127,TIMEOUT,DATA,89,0
1777222054.2843013,SEND,DATA,89,1024
1777222054.2861643,RECV,ACK,89,0
1777222054.2871587,SEND,DATA,90,1024
1777222054.7920742,TIMEOUT,DATA,90,0
1777222054.7920742,SEND,DATA,90,1024
1777222054.792895,RECV,ACK,90,0
1777222054.792895,SEND,DATA,91,1024
1777222055.3027391,TIMEOUT,DATA,91,0
1777222055.3037546,SEND,DATA,91,1024
1777222055.3057508,RECV,ACK,91,0
1777222055.3067458,SEND,DATA,92,1024
1777222055.307734,RECV,ACK,92,0
1777222055.307734,SEND,DATA,93,1024
1777222055.3087337,RECV,ACK,93,0
1777222055.3087337,SEND,DATA,94,1024
1777222055.3097332,RECV,ACK,94,0
1777222055.310742,SEND,DATA,95,1024
1777222055.813055,TIMEOUT,DATA,95,0
1777222055.8138747,SEND,DATA,95,1024
1777222056.3222325,TIMEOUT,DATA,95,0
1777222056.3227613,SEND,DATA,95,1024
1777222056.3227613,RECV,ACK,95,0
1777222056.3237576,SEND,DATA,96,1024
1777222056.3237576,RECV,ACK,96,0
1777222056.3247597,SEND,DATA,97,1024
1777222056.3247597,RECV,ACK,97,0
1777222056.3258636,SEND,DATA,98,1024
1777222056.3258636,RECV,ACK,98,0
1777222056.3267581,SEND,DATA,99,1024
1777222056.3267581,RECV,ACK,99,0
1777222056.327759,SEND,DATA,100,1024
1777222056.327759,RECV,ACK,100,0
1777222056.3287597,SEND,DATA,101,1024
1777222056.3287597,RECV,ACK,101,0
1777222056.32976,SEND,DATA,102,1024
1777222056.32976,RECV,ACK,102,0
1777222056.3307607,SEND,DATA,103,1024
1777222056.3307607,RECV,ACK,103,0
1777222056.3307607,SEND,DATA,104,1024
1777222056.8321557,TIMEOUT,DATA,104,0
1777222056.8321557,SEND,DATA,104,1024
1777222056.8321557,RECV,ACK,104,0
1777222056.8335786,SEND,DATA,105,1024
1777222056.834193,RECV,ACK,105,0
1777222056.834193,SEND,DATA,106,1024
1777222056.836144,RECV,ACK,106,0
1777222056.8371148,SEND,DATA,107,1024
1777222056.838106,RECV,ACK,107,0
1777222056.838106,SEND,DATA,108,1024
1777222056.8391054,RECV,ACK,108,0
1777222056.8398902,SEND,DATA,109,1024
1777222056.8398902,RECV,ACK,109,0
1777222056.840886,SEND,DATA,110,1024
1777222056.840886,RECV,ACK,110,0
1777222056.841892,SEND,DATA,111,1024
1777222056.841892,RECV,ACK,111,0
1777222056.841892,SEND,DATA,112,1024
1777222057.344743,TIMEOUT,DATA,112,0
1777222057.344743,SEND,DATA,112,1024
1777222057.3456333,RECV,ACK,112,0
1777222057.3456333,SEND,DATA,113,1024
1777222057.3472373,RECV,ACK,113,0
1777222057.3472545,SEND,DATA,114,1024
1777222057.3472545,RECV,ACK,114,0
1777222057.3482711,SEND,DATA,115,1024
1777222057.3482711,RECV,ACK,115,0
1777222057.3492677,SEND,DATA,116,1024
1777222057.3492677,RECV,ACK,116,0
1777222057.3501294,SEND,DATA,117,1024
1777222057.3501294,RECV,ACK,117,0
1777222057.35114,SEND,DATA,118,1024
1777222057.8561897,TIMEOUT,DATA,118,0
1777222057.857184,SEND,DATA,118,1024
1777222057.8581812,RECV,ACK,118,0
1777222057.8581812,SEND,DATA,119,1024
1777222057.8591814,RECV,ACK,119,0
1777222057.8591814,SEND,DATA,120,1024
1777222057.8601797,RECV,ACK,120,0
1777222057.8601797,SEND,DATA,121,1024
1777222058.3664794,TIMEOUT,DATA,121,0
1777222058.3670816,SEND,DATA,121,1024
1777222058.3680308,RECV,ACK,121,0
1777222058.3690166,SEND,DATA,122,1024
1777222058.874246,TIMEOUT,DATA,122,0
1777222058.8750052,SEND,DATA,122,1024
1777222058.8760092,RECV,ACK,122,0
1777222058.8760092,SEND,DATA,123,1024
1777222058.877012,RECV,ACK,123,0
1777222058.877012,SEND,DATA,124,1024
1777222058.8776069,RECV,ACK,124,0
1777222058.8776069,SEND,DATA,125,1024
1777222059.385728,TIMEOUT,DATA,125,0
1777222059.385728,SEND,DATA,125,1024
1777222059.3867147,RECV,ACK,125,0
1777222059.3867147,SEND,DATA,126,1024
1777222059.3877218,RECV,ACK,126,0
1777222059.3887713,SEND,DATA,127,1024
1777222059.8986619,TIMEOUT,DATA,127,0
1777222059.8986983,SEND,DATA,127,1024
1777222059.8996959,RECV,ACK,127,0
1777222059.8996959,SEND,DATA,128,1024
1777222059.8996959,RECV,ACK,128,0
1777222059.9006908,SEND,DATA,129,1024
1777222060.4069345,TIMEOUT,DATA,129,0
1777222060.4074643,SEND,DATA,129,1024
1777222060.4084725,RECV,ACK,129,0
1777222060.4084725,SEND,DATA,130,1024
1777222060.917902,TIMEOUT,DATA,130,0
1777222060.917902,SEND,DATA,130,1024
1777222060.9189005,RECV,ACK,130,0
1777222060.9189005,SEND,DATA,131,1024
1777222060.9198904,RECV,ACK,131,0
1777222060.9198904,SEND,DATA,132,1024
1777222060.9198904,RECV,ACK,132,0
1777222060.9208996,SEND,DATA,133,1024
1777222060.9208996,RECV,ACK,133,0
1777222060.9208996,SEND,DATA,134,1024
1777222060.921905,RECV,ACK,134,0
1777222060.9229074,SEND,DATA,135,1024
1777222061.4268029,TIMEOUT,DATA,135,0
1777222061.4268029,SEND,DATA,135,1024
1777222061.4279761,RECV,ACK,135,0
1777222061.4288034,SEND,DATA,136,1024
1777222061.4288034,RECV,ACK,136,0
1777222061.4298022,SEND,DATA,137,1024
1777222061.4308019,RECV,ACK,137,0
1777222061.4308019,SEND,DATA,138,1024
1777222061.4318044,RECV,ACK,138,0
1777222061.4318044,SEND,DATA,139,1024
1777222061.4328036,RECV,ACK,139,0
1777222061.4328036,SEND,DATA,140,1024
1777222061.4341402,RECV,ACK,140,0
1777222061.4341767,SEND,DATA,141,1024
1777222061.4341767,RECV,ACK,141,0
1777222061.4351377,SEND,DATA,142,1024
1777222061.4351377,RECV,ACK,142,0
1777222061.4351377,SEND,DATA,143,27
1777222061.436142,RECV,ACK,143,0
1777222061.436142,SEND,END,144,0
1777222061.4371367,RECV,ACK,144,0
